Name,Description,Price,Link,"Running Total"
XIAO-ESP32-C6,the mcu,$9.34,https://alishort.com/kbwj1,$9.34
Cherry MX switches,the keys,$5.09,https://alishort.com/CqnNE,$14.43
Key caps,caps,$2.36,https://alishort.com/nTbTm,$16.79
LEDs,smt,$1.69,https://alishort.com/i5oWG,$18.48
Resistors,smt,$0.95,https://alishort.com/ywKKF,$19.43
PCB,pcb fabrication,$4.00,www.jlcpcb.com,$23.43
PCB shipping,shipping pcb,$3.30,www.jlcpcb.com,$26.73
Case,-,N/A,N/A,N/A
MCP23017,gpio expander,$1.80,https://www.lcsc.com/product-detail/C506653.html,$28.53
Cost, Total cost,$36.28,N/A
